"Do you understand and accept the terms, including the privacy notice, above?",EnglishFirstLanguage,EnglishFluency,OtherLanguages,EnjoysPuns,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,gender,race,hispanic,age,location
Yes,Yes,Yes,English is my only fluent language,Sometimes,3,2,2,2,2,4,3,3,3,5,3,1,3,3,2,3,3,2,3,4,3,4,2,4,2,2,5,3,2,2,Male,White,No,18-24,Europe
Yes,No,Yes,Chinese (Mandarin),Usually,3,4,6,5,5,5,6,5,5,6,3,3,5,4,6,5,4,4,3,3,5,3,3,5,4,4,5,3,4,2,Male,Asian/Pacific Islander,No,18-24,Canada
Yes,Yes,Yes,English is my only fluent language,Always,6,6,4,6,2,6,6,6,5,6,6,5,6,4,5,6,3,5,5,5,4,5,5,6,5,5,5,4,4,5,Female,White,No,18-24,United States
Yes,No,Yes,Polish,Usually,5,5,3,4,5,3,3,4,2,2,3,3,2,3,3,2,4,3,3,4,2,3,3,2,3,4,3,3,3,3,Male,White,No,18-24,Europe
Yes,No,Yes,Japanese;Polish,Usually,4,2,4,5,5,2,2,4,2,2,1,3,2,2,2,2,1,4,2,2,5,3,2,2,4,3,2,3,2,1,Male,White,No,18-24,Europe
Yes,Yes,Yes,English is my only fluent language,Usually,4,6,3,5,5,5,6,6,2,2,2,2,2,5,6,4,4,6,3,6,5,2,4,4,6,5,6,4,3,3,Female,White,No,25-34,United States
Yes,Yes,Yes,Japanese,Always,4,5,4,3,6,4,5,4,4,5,3,3,3,4,4,5,4,5,6,5,6,3,4,4,6,4,5,4,4,4,Male,Asian/Pacific Islander,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,2,4,4,4,2,4,5,4,2,6,2,1,4,2,2,2,2,3,5,2,2,4,2,5,2,2,4,2,3,2,Female,White,No,18-24,United States
Yes,Yes,Yes,Spanish,Usually,3,4,2,6,6,2,5,5,4,5,4,3,3,3,2,5,4,2,3,3,4,4,3,3,2,4,5,5,5,4,Male,White,No,45-54,United States
Yes,No,Yes,French;Portuguese;Spanish,Always,1,4,2,4,6,3,2,5,5,5,1,4,2,2,4,6,6,6,2,4,3,1,6,4,5,5,2,3,4,1,Male,White,Yes,25-34,Europe
Yes,No,Yes,Chinese (Mandarin),Always,6,6,5,2,3,6,4,4,4,4,3,2,3,3,5,4,5,6,3,6,2,5,3,4,2,5,4,3,4,4,Male,Asian/Pacific Islander,No,18-24,Australia
Yes,Yes,Yes,English is my only fluent language,Usually,3,4,2,5,5,3,5,3,5,5,4,2,5,5,5,5,3,3,4,5,3,5,2,3,5,4,2,3,3,3,Female,White,No,18-24,United States
Yes,Yes,Yes,Russian;Spanish,Always,2,6,2,6,2,2,3,4,2,2,2,4,6,2,6,2,2,4,2,2,2,3,3,4,2,4,6,5,4,2,Male,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Sometimes,1,4,2,1,2,1,1,2,1,2,1,2,4,3,3,3,2,1,1,2,4,1,2,2,2,2,2,1,1,1,Male,White,No,25-34,Europe
Yes,Yes,Yes,Spanish;Hebrew,Usually,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Female,White,No,25-34,Europe
Yes,No,Yes,French;Spanish,Always,6,6,4,6,6,4,5,5,5,5,4,4,5,4,5,6,4,5,5,5,6,6,4,5,6,4,5,4,4,5,Male,White,Yes,18-24,Mexico/Central America/Caribbean
Yes,No,Yes,Italian,Usually,6,4,4,2,6,2,5,4,3,4,3,4,5,3,5,5,2,4,6,2,3,2,5,5,4,4,4,3,3,2,Female,White,No,Under 18,Europe
Yes,Yes,Yes,German,Always,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,Male,White,No,18-24,United States
